date,series,adjusted_close
2023-06-01,GOOG,119.91277313232422
2023-07-01,GOOG,131.94667053222656
2023-08-01,GOOG,136.14959716796875
2023-09-01,GOOG,130.6976776123047
2023-10-01,GOOG,124.20492553710938
2023-11-01,GOOG,132.74957275390625
2023-12-01,GOOG,139.6983184814453
2024-01-01,GOOG,140.5607147216797
2024-02-01,GOOG,138.558349609375
2024-03-01,GOOG,150.92929077148438
2024-04-01,GOOG,163.2010955810547
2024-05-01,GOOG,172.4396514892578
2024-06-01,GOOG,182.0238800048828
2024-07-01,GOOG,171.83203125
2024-08-01,GOOG,163.85324096679688
2024-09-01,GOOG,166.1358184814453
2024-10-01,GOOG,171.6011505126953
2024-11-01,GOOG,169.41500854492188
2024-12-01,GOOG,189.45391845703125
2025-01-01,GOOG,204.53543090820312
2025-02-01,GOOG,171.3282470703125
2025-03-01,GOOG,155.59811401367188
2025-04-01,GOOG,160.23927307128906
2025-05-01,GOOG,172.15090942382812
2025-06-01,GOOG,176.88490295410156
2025-07-01,GOOG,192.3108367919922
2025-08-01,GOOG,212.92198181152344
2025-09-01,GOOG,243.07357788085938
2025-10-01,GOOG,281.26873779296875
2025-11-01,GOOG,319.4937744140625
2025-12-01,GOOG,313.3904724121094
2026-01-01,GOOG,338.08819580078125
2026-02-01,GOOG,311.0235595703125
2026-03-01,GOOG,286.68743896484375
2026-04-01,GOOG,381.71026611328125
2026-05-01,GOOG,376.2035827636719
2026-06-01,GOOG,353.3299865722656
2026-07-01,GOOG,356.6499938964844
2026-08-01,GOOG,340.2650146484375
2016-09-01,AVGO,13.264941215515137
2016-10-01,AVGO,13.092708587646484
2016-11-01,AVGO,13.108857154846191
2016-12-01,AVGO,13.669424057006836
2017-01-01,AVGO,15.427105903625488
2017-02-01,AVGO,16.31098175048828
2017-03-01,AVGO,17.00872039794922
2017-04-01,AVGO,17.152423858642578
2017-05-01,AVGO,18.602705001831055
2017-06-01,AVGO,18.180313110351562
2017-07-01,AVGO,19.242040634155273
2017-08-01,AVGO,19.6640682220459
2017-09-01,AVGO,18.99797248840332
2017-10-01,AVGO,20.6718692779541
2017-11-01,AVGO,21.770832061767578
2017-12-01,AVGO,20.25617790222168
2018-01-01,AVGO,19.556798934936523
2018-02-01,AVGO,19.433006286621094
2018-03-01,AVGO,18.85291290283203
2018-04-01,AVGO,18.3544921875
2018-05-01,AVGO,20.166574478149414
2018-06-01,AVGO,19.672462463378906
2018-07-01,AVGO,17.980382919311523
2018-08-01,AVGO,17.758230209350586
2018-09-01,AVGO,20.154254913330078
2018-10-01,AVGO,18.255887985229492
2018-11-01,AVGO,19.392942428588867
2018-12-01,AVGO,20.989850997924805
2019-01-01,AVGO,22.143024444580078
2019-02-01,AVGO,22.729930877685547
2019-03-01,AVGO,25.04421043395996
2019-04-01,AVGO,26.517494201660156
2019-05-01,AVGO,20.957481384277344
2019-06-01,AVGO,24.20386505126953
2019-07-01,AVGO,24.382965087890625
2019-08-01,AVGO,23.76495933532715
2019-09-01,AVGO,23.426137924194336
2019-10-01,AVGO,24.85001564025879
2019-11-01,AVGO,26.832246780395508
2019-12-01,AVGO,27.08775520324707
2020-01-01,AVGO,26.15688705444336
2020-02-01,AVGO,23.36771011352539
2020-03-01,AVGO,20.668548583984375
2020-04-01,AVGO,23.677736282348633
2020-05-01,AVGO,25.39067268371582
2020-06-01,AVGO,27.7958927154541
2020-07-01,AVGO,27.89628791809082
2020-08-01,AVGO,30.57363510131836
2020-09-01,AVGO,32.37832260131836
2020-10-01,AVGO,31.072769165039062
2020-11-01,AVGO,35.68974685668945
2020-12-01,AVGO,39.24474334716797
2021-01-01,AVGO,40.378570556640625
2021-02-01,AVGO,42.11471176147461
2021-03-01,AVGO,41.882957458496094
